holding_company,unit_count_res,unit_count_bus
Bethesda Wireless LLC,28,28
Bethesda Wireless LLC,1333,2
"Cal.net, Inc.",180,180
"Cal.net, Inc.",576292,576292
"Cal.net, Inc.",157702,157702
"Cal.net, Inc.",747118,747118
"City of Richmond, Indiana",0,3598
"City of Richmond, Indiana",8,3597
City of Wyandotte,11617,11617
City of Wyandotte,11617,11617
"ClearSKY Systems, Inc.",56782,56782
Columbia Energy LLC,1486,1486
Columbia Energy LLC,4566,4566
Columbia Energy LLC,24226,24226
Getwireless.net,2765,0
"Impulse Internet Services, LLC",0,31
"Impulse Internet Services, LLC",5,7
Maxwire Inc.,4806,4806
Maxwire Inc.,8259,8259
"MontanaSky Networks, Inc.",4018,4018
"MontanaSky Networks, Inc.",4620,4620
"MontanaSky Networks, Inc.",12747,12747
Noize Communications LLC,14709,14709
"Skywave Wireless, Inc.",4531,4531
"Skywave Wireless, Inc.",7185,7185
"Sonic Spectrum, Inc.",3029,3029
"Sonic Spectrum, Inc.",13670,13670
SonicNet Inc.,649,33
SonicNet Inc.,810,93
SonicNet Inc.,502,99
TC LLC,258,258
TC LLC,1012,1012
TC LLC,883,883
CG Computer Works LLC,26435,4657
CG Computer Works LLC,1917,1917
"Velocity Broadband Internet, Inc.",3379,3379
"Western Communications, Inc.",84,84
"WireFree Communications, Inc.",42331,42331
X1 Communications Inc.,12439,12439
Webhiway Communications LLC,141,9
Cogeco Cable Holdings II Inc.,1747987,532731
Cogeco Cable Holdings II Inc.,127138,41711
"Air Link Rural Broadband, LLC",5903,5903
"Air Link Rural Broadband, LLC",43341,43341
Aureon Network Services Inc.,598,598
Aureon Network Services Inc.,0,39
Aureon Network Services Inc.,0,940
Borough of Kutztown,2734,2734
"James Bouse Enterprises, LLC",8216,8216
"James Bouse Enterprises, LLC",4602,4602
City of Longmont,46879,46879
"Co-Mo Electric Cooperative, Inc.",59554,59554
"Eastern Shore Communications, LLC",2207,2207
"Eastern Shore Communications, LLC",13195,13195
FractalVision,1222,1222
Mile High Networks,0,71834
"Professional Satellite Services, Inc.",1148,1148
"Rayfield Communications, Inc.",1234,571
"San Juan Cable, Inc.",2347,2347
"San Juan Cable, Inc.",180,180
"Tekify, LLC",839,839
"Tekify, LLC",241799,241799
Veloxnet Inc.,210,210
Veloxnet Inc.,373,308
Veloxnet Inc.,76,72
"Rural Connect, LLC",115,14
ZMP Holding Company,686,852
ZMP Holding Company,1563,1871
LARIAT,24,24
LARIAT,14951,14951
"Horizon Cable TV, Inc.",2260,2260
"Horizon Cable TV, Inc.",1248,1248
"AtLink Services, LLC",181,181
"AtLink Services, LLC",176218,176218
"AtLink Services, LLC",112942,112942
"AtLink Services, LLC",403733,403733
"AirFiber, Inc.",17932,17932
"AirFiber, Inc.",24954,24954
Alamo Broadband Inc.,2185,2185
Alamo Broadband Inc.,67221,66524
AlignTec Inc.,22,0
AlignTec Inc.,17848,0
AlignTec Inc.,1,0
AMG Technology Investment Group LLC,103555,103555
AMG Technology Investment Group LLC,1124466,1124466
AMG Technology Investment Group LLC,1739260,1739260
AMG Technology Investment Group LLC,663420,663420
"Bear River Communications, LLC",10382,9798
"Believe Wireless, LLC",1,1
"Believe Wireless, LLC",790284,790284
Pocomoke Holdings,247,247
Pocomoke Holdings,26253,26253
Pocomoke Holdings,323010,323010
"Computer Techniques, Inc.",27599,27599
"Digital Connections, Inc.",11184,11184
"DMCI Broadband, LLC",3002,3002
"DMCI Broadband, LLC",6887,6143
"DMCI Broadband, LLC",17669,17503
"Electronic Corporate Pages, Inc.",136706,136706
In The Stix Broadband LLC,627,627
In The Stix Broadband LLC,53880,53208
In The Stix Broadband LLC,17219,17138
Innovative Financial Technologies LLC,613,613
Innovative Financial Technologies LLC,4978,4978
Innovative Financial Technologies LLC,7420,7420
Innovative Financial Technologies LLC,115411,114422
Innovative Financial Technologies LLC,18892,18880
"Interstate Wireless, Inc.",4754,0
JMZ Corporation,36642,36642
JMZ Corporation,125249,125249
JMZ Corporation,52499,52499
Lake Region Technology & Communications LLC,29295,29295
ISP Industries LLC,1088280,1088280
Northern Arapaho Tribal Industries,1552,1552
Northern Arapaho Tribal Industries,12729,12729
Northwest Open Access Network,3108,2826
"Portative Technologies, LLC",4490,4490
Rural Broadband Network Services LLC,1149,210
San Diego Broadband,308948,376334
SmartBurst LLC,6074,6053
SmartBurst LLC,50,50
"Declaration Networks Group, Inc.",1534,1534
"Declaration Networks Group, Inc.",2119,2119
"Declaration Networks Group, Inc.",184533,184533
"Declaration Networks Group, Inc.",11252,11252
"Splash Wireless Internet, LLC",36885,36884
"Taos Net, LLC",17551,17551
TELE-PAGE Inc.,671,671
Television Association of Republic,559,559
Television Association of Republic,231,231
Television Association of Republic,1297,1297
The Junction Internet LLC,311,311
The Junction Internet LLC,2571,2571
The Junction Internet LLC,41314,41314
The Junction Internet LLC,53012,53012
Tnet Broadband Internet,4943,1109
Tnet Broadband Internet,741,741
"Viasat, Inc.",129968036,162566550
Webformix Company,41821,2
Webformix Company,7805,0
Webformix Company,3818,0
Wificow Wyoming Corporation,83,83
Fluid-Blu Technologies,13723,13723
"Kern Valley Wireless, Inc.",6758,6709
"Kern Valley Wireless, Inc.",1361,1330
"Acme Communications, Inc.",2386,2386
"Airosurf Communications, Inc.",65595,65595
"Anvil Communications, Inc.",5493,0
City of Bagley,907,282
"Basin 2 Way Radio, Inc.",371,0
"Bluespan Wireless, LLC",43249,43249
Borealis Broadband Inc.,100829,100829
"Brolly Communications, Inc.",8260,8191
Hilbert Communications LLC,24623,24623
Hilbert Communications LLC,82591,82591
Hilbert Communications LLC,348666,348666
Hilbert Communications LLC,502173,502173
"CTI Networks, Inc.",243510,243510
Cirra Networks,77780,75070
City of Monticello,6028,6028
Communications Management Group LLC,0,749
"Critical Hub Networks, Inc.",135949,135949
Cruzio Internet,790,790
Cruzio Internet,156101,156101
GI DI Vertigo Acquisition LLC,0,4795
Eastern Shore of Virginia Broadband Authority,25919,25919
"Fatbeam Holdings, LLC",12979,1098
Hunter Communications & Technologies LLC,304,304
Hunter Communications & Technologies LLC,114815,114815
Hunter Communications & Technologies LLC,63222,63222
Freeway Networks LLC,543,0
Jo-Carroll Electric Cooperative Inc.,20401,20400
Jo-Carroll Electric Cooperative Inc.,14673,14673
"Kansas Broadband Internet, Inc.",14200,0
"Kansas Broadband Internet, Inc.",12446,0
Windfield Enterprises LLC,266982,266982
Windfield Enterprises LLC,193191,193191
"King Street Wireless, LP",34,34
Local Internet Service Company,3648,3648
"Tower Bridge Mobile Holdings, LLC",47613,47613
MCNC,0,582
Marshall Municipal Utilities,7039,7039
Midwest Energy Cooperative,97581,97581
"Mission Valley Communications, LLC",17988,17988
Mosier WiNet LLC,235,237
Mosier WiNet LLC,561,571
Mosier WiNet LLC,1,1
"XTel Communications, Inc.",0,499
"XTel Communications, Inc.",0,658
"XTel Communications, Inc.",0,853
"XTel Communications, Inc.",0,49
"NetFortris Acquisition Co., Inc.",0,2370
"Night Owl Wireless, LLC",1218,1218
"Night Owl Wireless, LLC",672,672
"Night Owl Wireless, LLC",231,231
Mohawk Networks LLC,1225,253
Mohawk Networks LLC,50,3
"Northern Network Concepts, Inc.",1335,1335
"Northern Network Concepts, Inc.",6359,6359
Okanogan County PUD No. 1,694,694
Okanogan County PUD No. 1,15581,15374
Orange S.A.,0,24
"Pasty.net, Inc.",1154,1154
"Peak WiFi, LLC",2280,2280
Princeton Electric Plant Board,40,249
"Professional Value Internet Services, LLC",904,904
"Professional Value Internet Services, LLC",20253,20253
"Professional Value Internet Services, LLC",49750,49750
"Richon, Inc.",24443,24443
Router12 Networks LLC,535,210
Router12 Networks LLC,1336,317
Router12 Networks LLC,30544,6762
Royce's Electronics Inc.,12387,12387
Royce's Electronics Inc.,5924,5924
SDN Communications,0,3535
SDWISP,946,0
"SS Ventures, Inc.",1756,1218
"SS Ventures, Inc.",1678,1080
"Siuslaw Broadband, LLC",4969,4969
"Siuslaw Broadband, LLC",21,0
Southwest Minnesota Broadband Services,4374,4374
"Stratus Networks, Inc.",0,135949
"Texas CellNet, Inc.",8368,7879
"Texhoma Wireless, LLC",40966,40966
"Unified Communications, Inc.",10885,10885
"Unified Communications, Inc.",36554,36554
VVD Funding LLC,17774,17774
"Virginia Broadband, LLC",65776,65776
"Virginia Everywhere, LLC",13573,13573
"Virginia Everywhere, LLC",121998,121998
"Visionary Communications, Inc.",49266,49266
"Visionary Communications, Inc.",211830,211830
"Visionary Communications, Inc.",116164,116164
"Visionary Communications, Inc.",60503,60503
Wireless Internet Corporation,63589,63589
WISPRENN,98416,98416
"rNetworks, LLC",20906,20906
"BEH Communications, LLC",9465,9465
Bridger Valley Electric Association Inc.,2977,0
ICS Advanced Technologies,3211,0
ICS Advanced Technologies,88,0
RC Wireless Inc.,5382,5382
RC Wireless Inc.,32705,32705
Standing Rock Sioux Tribe,4465,1888
"Trailblazer Holdco, LLC",8655,3690
"Trailblazer Holdco, LLC",342529,33076
"USConnect Holdings, Inc.",15174,15174
"USConnect Holdings, Inc.",2823,2823
"USConnect Holdings, Inc.",51065,51065
"USConnect Holdings, Inc.",12061,12061
Interlakes Wireless LLC,1180,1027
Interlakes Wireless LLC,371,330
Interlakes Wireless LLC,932,932
Ruhl Moore Technologies,46,46
Brick Skirt Holdings,2512,346
Brick Skirt Holdings,7464,2342
Brick Skirt Holdings,16827,16827
Ampersand Technologies LLC,48190,47444
Ampersand Technologies LLC,104948,104834
Blue Ridge Mountain Electric Membership Corporation,22148,22148
"Blue River Networks, Inc.",844,844
"Blue River Networks, Inc.",252,252
California Internet,0,3061523
Cascades Digital Forensics LLC,5284,5284
Cascades Digital Forensics LLC,32884,32884
Cascades Digital Forensics LLC,362,362
"CCT Telecommunications, Inc.",0,328
City of Sandersville,2,114
"Clarity Telecom, LLC",7171,2377
"Clarity Telecom, LLC",137468,47727
"Clarity Telecom, LLC",234013,58488
"Clarity Telecom, LLC",37634,11094
"Clearnetworx, LLC",1,1
"Clearnetworx, LLC",430,430
"Clearnetworx, LLC",41131,41131
"Clearnetworx, LLC",14072,14072
"Sinch US Holding, Inc.",0,8
"Sinch US Holding, Inc.",0,485
"Conifer Communications, Inc.",44962,44962
Demopolis CATV Co.,3885,3885
E.L. Automation Inc.,90,90
E.L. Automation Inc.,2254,2254
E.L. Automation Inc.,4795,4795
E.L. Automation Inc.,4146,4146
TXOL Internet Inc.,11050,11050
Gtek Communications,16181,16181
Gtek Communications,225860,225860
Habersham Electric Membership Corporation,35527,35527
"Helmsco, Inc.",70152,70152
Iron River Cooperative TV Antenna Corp,2738,2738
"Network Professionals, Inc.",26104,26104
New Source Broadband I LLC,287,287
New Source Broadband I LLC,30886,30886
"Redburn Infrastructure, LLC",1147,1147
"Redburn Infrastructure, LLC",1041,1041
"Salish Networks, Inc.",77,0
"Salish Networks, Inc.",2576,249
"Salish Networks, Inc.",0,2
Sebewaing Light and Water,1085,87
Signal West LLC,3315,3315
Signal West LLC,57561,57561
"Softcom Internet Communications, Inc.",51380,4968
"Surf Air Wireless, LLC",238802,238802
"Surf Air Wireless, LLC",139090,139090
Surfnet Communications,97026,97026
"Velocity.Net Communications, Inc.",24720,21367
Verso Networks Inc.,4454,1333
WaveLinc Communications LLC,146,146
WaveLinc Communications LLC,16098,16098
Istari Holdings LLC,14889,14889
Istari Holdings LLC,66983,66983
Zulu Internet Inc.,5158,5158
"Town of Concord, Massachusetts",5445,844
"Arrowhead Electric Cooperative, Inc.",6573,6573
"VGI Technology, Inc.",518,518
"VGI Technology, Inc.",5236,5236
"VGI Technology, Inc.",92569,92569
Aptitude Internet LLC,5530,837
Aptitude Internet LLC,399,8
"B&B Communications, Ltd.",52474,6122
Backroads Broadband,10743,10743
Brown Dog Networks LLC,856461,856461
"Country Wireless, LLC",1047,1047
"Country Wireless, LLC",2968,2968
"Country Wireless, LLC",52261,52261
Morrison Global,0,41
Giggle Fiber LLC,35481,35481
Giggle Fiber LLC,3192,3192
"Greenlight Networks, LLC",304926,227927
"High Mountain Farm, LLC",1328,1328
Hilltown Networks,450,314
"HPAZ.net, LLC",14605,14124
Illinois Electric Cooperative,3493,3493
Illinois Electric Cooperative,8248,8248
Illinois Electric Cooperative,24848,24848
"Internet Services, LLC",492208,0
"Island Networks, LLC",5248,5248
"Island Networks, LLC",817,817
iWiSP LLC,1957,1957
iWiSP LLC,10646,10350
"Last Mile Wireless, LLC",11135,11135
Mojavewifi.com LLC,31157,31157
"Prairie Hills Wireless, LLC",5771,5771
"SBT Internet, Inc.",173,12
SkyHi Corp.,25522,25522
SkyNet Communications of Kentucky LLC,1612,1612
Small Business Solutions Group LLC,56,0
Small Business Solutions Group LLC,9791,9791
"Stratosnet Technologies, Inc.",259762,259762
Complete Computers,591,591
"Coba Systems, LLC",2426,2426
"Coba Systems, LLC",9116,9116
The Laffoon Corporation,274,274
The Laffoon Corporation,2259,2259
"Total Radio Service, Inc.",2408,2408
"New Era Broadband, LLC",2691,2475
"New Era Broadband, LLC",2641,2591
"TISD, Inc.",38408,38408
"TISD, Inc.",69026,69026
"Centre WISP Venture Company, LLC",4090,4090
"Centre WISP Venture Company, LLC",13465,13465
"Hawaii Dialogix Telecom, LLC",2369,1473
"Hawaii Dialogix Telecom, LLC",0,244
"Hawaii Dialogix Telecom, LLC",1263,2228
"Hawaii Dialogix Telecom, LLC",0,188
"Hot Spot Broadband, Inc.",324401,324401
Inland Development Corporation,0,1408
"Spring City Cable TV, Inc.",3921,3921
"Spring City Cable TV, Inc.",1694,1694
Safelink Internet,2596,2596
Safelink Internet,357184,357184
Safelink Internet,14667,14667
Safelink Internet,60528,60528
Service Electric Television Inc.,539197,539197
Service Electric Television Inc.,19856,20342
"AirFiber WISP, LLC",880839,880838
"ANTS-Technology, Inc.",414,414
"ANTS-Technology, Inc.",4564,4724
Byte Networking LLC,619,619
City of Ocala,153,93
"Echo IT Consulting, LLC",35,0
Uniti Group Inc.,0,25775
Franklin Electric Plant Board,7250,7250
Go Bee Wireless LLC,15,15
Kelly Supply Company,448,23
"Legacy ISP, LLC",6101,6101
"Legacy ISP, LLC",99058,99058
"Nedernet, Inc.",3909,3909
NETEO Inc.,23770,23528
Nez Perce Tribe,379,379
Nez Perce Tribe,1340,1340
Nez Perce Tribe,4292,4292
"Northeast Rural Services, Inc.",32327,32327
PrineTime Internet Solutions,3529,3529
PrineTime Internet Solutions,49370,49370
"Race Telecommunications, Inc.",137169,137169
RS Fiber Cooperative,4424,4424
RS Fiber Cooperative,1325,1325
SkyNet Communications LLC,62703,62699
"Skyweb Networks, Inc.",318,318
"Smoky Valley Internet, Inc.",55,55
"Smoky Valley Internet, Inc.",696,696
SyncWave LLC,10383,9921
SyncWave LLC,1,1
"Washington Broadband, Inc.",1020,1020
"Washington Broadband, Inc.",2328,2328
"Washington Broadband, Inc.",43530,42413
Whitestone Community Association,15,6
Whitestone Community Association,0,4
"LaHarpe Telephone Company, Inc. (IL)",1447,1447
"Valley Telephone Cooperative, Inc. (TX)",4370,4370
"Valley Telephone Cooperative, Inc. (TX)",40789,40789
"Valley Telephone Cooperative, Inc. (TX)",183531,183531
"Valley Telephone Cooperative, Inc. (TX)",774960,774960
Airhawk Wireless,439,439
Allamakee-Clayton Electric Cooperative Inc.,2771,528
Allamakee-Clayton Electric Cooperative Inc.,776,199
"AWC, LLC",1713,1532
"AWC, LLC",43563,43476
"Callabyte Technology, LLC",23918,23918
"Comelec Services, Inc.",3409,3409
"Comelec Services, Inc.",43453,39104
"Comelec Services, Inc.",8160,8160
"Comelec Services, Inc.",5047,5047
"DesertGate Internet, LLC",11350,10481
"DesertGate Internet, LLC",53,3
FiberSpark Inc.,5196,5196
BHT Investment Holdings LLC,596,596
BHT Investment Holdings LLC,110463,110228
BHT Investment Holdings LLC,89459,89413
BHT Investment Holdings LLC,34604,34604
"HUB Electronics, Inc.",12344,12344
Intercept Wireless,1828,1828
Intercept Wireless,1054,80
Intercept Wireless,1562,749
Com-Pair Services,105118,105118
Com-Pair Services,1117,1117
Karuk Tribe,146,146
"Oso Internet Solutions, LLC",375,375
"Oso Internet Solutions, LLC",553,464
"Oso Internet Solutions, LLC",50,50
"Plains Internet, LLC",7781,7781
"Plains Internet, LLC",209238,209238
"QCSTelecom, Inc.",0,64
Sail Internet Holdings LLC,32193,10663
Sail Internet Holdings LLC,1488,345
Sail Internet Holdings LLC,245151,38429
Skynet Country Inc.,1877,897
Skynet Country Inc.,4963,1704
"Starwire Technologies, LLC",38,38
"Starwire Technologies, LLC",2257,2257
"Starwire Technologies, LLC",1727,1727
"Starwire Technologies, LLC",621,621
"Point Broadband Fiber Holding, LLC",491479,491479
"Point Broadband Fiber Holding, LLC",264240,264240
"Point Broadband Fiber Holding, LLC",93355,93355
"Point Broadband Fiber Holding, LLC",101497,101497
"Ultimate Internet Access, Inc.",9507,9507
"Ultimate Internet Access, Inc.",3604,593768
Aroostook Technologies Inc.,18631,18631
Dillon Beach Internet Service LLC,446,446
Fastlink Communications Inc.,35306,0
"Keltgen Technology, Inc.",1521,1521
"Mechcom Communications, Inc.",25591,6263
"Kcindur Communications, Inc.",1292,269
American Samoa Telecommunications Authority,8843,8843
"ATV Holdings, LLC",308,308
"ATV Holdings, LLC",9338,9338
"Bays-ET Highspeed, LLC",1441,1441
"Bays-ET Highspeed, LLC",32728,32728
"Belzoni Cable, LLC",2795,2795
"Belzoni Cable, LLC",4128,4128
"Byhalia.net, LLC",25140,25140
"Byhalia.net, LLC",18,18
"CASCO Communications, Inc.",7614,7614
"CASCO Communications, Inc.",59118,59118
"CASCO Communications, Inc.",14983,14983
"City of Fairlawn, Ohio",12707,12769
City of Hudson,1603,1603
Waverly Utilities,5313,5313
Corridor Wireless LLC,101984,1
CVIN LLC,0,104919
"Digital Aurora Radio Technologies, LLC",3174,3174
"EBTX Wireless, LLC",946,886
"EBTX Wireless, LLC",339,332
"Fiber Platform, LLC",0,644505
"iGo Technology, Inc.",3670,3670
"Jenco Wireless, LLC",10886,10703
Killians Electronics LLC,26045,26045
Mid MO Micro Computers,3,1
Mid MO Micro Computers,29,0
"MR Systems Wireless, LLC",344,344
"MR Systems Wireless, LLC",19342,19242
North Central Kansas Community Network,1616,759
"NuWave Technology, Inc.",20594,0
Ranch WiFi LLC,51361,48912
River Valley Internet LLC,61035,61035
"WH i3B Bidco LLC/WH i3B Topco, LLC",30,81
"WH i3B Bidco LLC/WH i3B Topco, LLC",22681,22681
"WH i3B Bidco LLC/WH i3B Topco, LLC",328301,328305
Adept Internet Solutions LLP,3042,3010
Shelby Electric Cooperative Inc.,1445,1445
"Skyrunner, Inc.",9973,9973
"Skyrunner, Inc.",357087,357087
SOS Communications LLC,0,5
SOS Communications LLC,112411,112411
South Valley Internet,26,82
South Valley Internet,22,5
South Valley Internet,162,10
South Valley Internet,590,176
Telecom West Inc.,415,0
"Tri-Co Technologies, LLC",4264,4264
"Velocity Communications, Inc.",1863,1863
"Velocity Communications, Inc.",0,2131
"Velocity Communications, Inc.",136926,136926
"Velocity Communications, Inc.",2546,2546
"Whittrio, Inc.",409,409
"Whittrio, Inc.",638,638
"Whittrio, Inc.",230598,1177904
"Wireless Internet Services, Inc.",32873,32827
Xtreme Enterprises LLC,40830,7204
Kingsburg Media Foundation,41771,41570
AV Wireless Inc.,413,103
"KNR Wireless, LLC.",19470,19470
"Northern Nevada High Speed, LLC",2798,2798
"Bandera Electric Cooperative, Inc.",26583,26583
Barry Electric Cooperative,9022,9022
"Mainstream Fiber Networks, LLC",39486,39486
Blue Pulse Networks LLC,590,20480
"Cajun Broadband, Inc.",5725,5725
"Cajun Broadband, Inc.",88291,88291
"CarolinaConnect Cooperative, Inc.",122317,122317
Click Computers Inc.,555,555
Click Computers Inc.,1215,1215
EagleZip.com LLC,1696,1696
EagleZip.com LLC,0,4
EagleZip.com LLC,546,546
"Encore Communications, Inc.",0,2695
Erwin Utilities,8801,8801
"Etheric Communications, LLC.",317,338
"Etheric Communications, LLC.",42682,6531
"Etheric Communications, LLC.",1759739,401287
Georgia Highspeed Country Internet,7821,7821
"High Rapid Networks, LLC",945,430
"Local TV & Electronics, Inc.",11506,104
Maquoketa Valley Rural Electric Cooperative,17457,4752
Morristown Utility System,18076,18076
"One Ring Networks, Inc.",2297,8658
"One Ring Networks, Inc.",6,2880
OptimERA Inc.,736,736
"Ozarks Electric Cooperative, Inc.",99318,99318
"Peninsula Fiber Network, LLC",0,1699
"Pioneer Wireless, Inc.",11270,0
"Pioneer Wireless, Inc.",12750,0
Prince George Electric Cooperative,13745,13745
Rocket Connect LLC,15720,15720
Stealth Communications,0,1011308
Stream It Networks LLC,4384,4342
Stream It Networks LLC,4392,4393
"Texoma Communications, LLC",11225,11059
"Texoma Communications, LLC",8319,8305
"Texoma Communications, LLC",4510,4504
Town of Warwick,226,0
Town of Warwick,99,0
"Two Tin Cans, LLC",323,322
"Valley Communications Association, LLC",19641,19641
"Valley Communications Association, LLC",24664,1440
Wells Community Internet Project,10658,10658
Zetalink LP,15788,15788
"WestPAnet, Inc.",2949,2949
"WestPAnet, Inc.",3174,8571
"Ethoplex, LLC",36251,36251
"NMsurf, Inc.",404,404
"NMsurf, Inc.",29383,29383
"NMsurf, Inc.",87359,87359
"NMsurf, Inc.",369233,369233
LakeNet LLC,7205,7205
City of Greenfield,19,69
City of Greenfield,6079,6239
"Smiling J, LLC",6476,6476
"Smiling J, LLC",54899,54899
Union Holding Corp.,5380,5380
Union Holding Corp.,3752,3765
Union Holding Corp.,27931,27931
AIRCELL Inc.,1103,1103
AIRCELL Inc.,4941,4941
"Fusion Connect, Inc.",0,2351
"Fusion Connect, Inc.",0,174
"Fusion Connect, Inc.",0,6732
"Fusion Connect, Inc.",0,53
"Good Connections, LLC",16572,16572
Hankins Information Technology,3856,0
Hankins Information Technology,66191,0
"ProTek Communications, LLC",7694,7694
Red Spectrum Communications LLC,1563,1563
Red Spectrum Communications LLC,10864,10864
"Redzone Wireless, LLC",109,0
"Redzone Wireless, LLC",3466,1859
"Redzone Wireless, LLC",327141,82492
"Redzone Wireless, LLC",559,58
Net Vision Communications LLC,1919,47
Net Vision Communications LLC,514,64
Zinnia Networks Inc.,39434,39434
Fybercom LLC,19019,19019
Fybercom LLC,8831,8831
Fybercom LLC,173440,173440
"600Amps Internet Services, Inc.",7104,7104
Azure Standard,245,245
Babcock Enterprises LLC,39725,39725
Bay Country Communications,4855,230
Bay Country Communications,364,89
"Bits of Technology Wireless Internet, LLC",2399,51
"Bits of Technology Wireless Internet, LLC",297,13
"CableSouth Media III, LLC",56047,56047
"CableSouth Media III, LLC",63519,63519
City Wireless,8047,8047
"Consolidated Smart Broadband Systems, LLC",3935,0
"Consolidated Smart Broadband Systems, LLC",6822,0
"Consolidated Smart Broadband Systems, LLC",2820,291
"Continental Divide Electric Cooperative, Inc.",12905,12905
Delta Montrose Electric Association,34506,34506
"Echo Broadband, Inc.",1921,812
"Engineer Austin, LLC",20,10
"Engineer Austin, LLC",18,4
"Falcon Broadband, Inc.",518,518
"Falcon Broadband, Inc.",2610,2610
"Falcon Broadband, Inc.",45742,57941
Falcon Internet,786,646
Falcon Internet,13845,13811
"Florida WiFi, LLC",8161,8161
"Florida WiFi, LLC",6793,6793
"Hill Country Towers, Inc.",1118,366
"Hill Country Towers, Inc.",2915,1423
"Hill Country Towers, Inc.",3844,1539
Hillcom Inc.,0,1
Hillcom Inc.,1490,64
Holland Board of Public Works,15622,15622
ISP Management Inc.,19516,18894
ISP Management Inc.,3870,3733
KEPS Technologies Inc.,7685,65891
"Lake County Broadband Solutions, LLC",17643,17643
"Lavalink, LLC",849,849
"Locl-Net, Inc.",4140,4140
"MCC Network Services, LLC",165,45
"MCC Network Services, LLC",125342,26412
Megawatt Communications LLC,2323,2323
"Native Network, Inc.",18051,18051
"Native Network, Inc.",35254,5682
"Native Network, Inc.",649,457
Net NV LLC,81346,81346
Net NV LLC,1259,1259
NewarkNet,4511,4511
Northwest Ohio Broadband LLC,19914,19914
"Nuvisions Solutions, LLC",8704,726
Pacific Lightwave Inc.,1170,1170
Pacific Lightwave Inc.,444,444
"Pilot Fiber, Inc.",0,1407800
PocketiNet Communications Inc.,3605,3605
PocketiNet Communications Inc.,7219,7219
PocketiNet Communications Inc.,44154,44154
PocketiNet Communications Inc.,132158,132158
PocketiNet Communications Inc.,64537,64537
"Integrated Business Networks, LLC",104,19
Softworx Inc.,320,79
"South Central Communications, Inc.",28957,28957
"Midstates Data Transport, LLC",6543,14300
"Midstates Data Transport, LLC",39218,39218
"Netafy, Inc.",292329,292141
"Netafy, Inc.",8839,8839
TellerWifi LLC,11860,11860
Tullahoma Utilities Authority,10664,10664
Tuttle Development Authority,3017,3017
Union City Energy Authority,4494,1107
Uplink Internet LLC,1243,1243
Uplink Internet LLC,3489,3486
"UpNet WI, LLC",892,892
"UpNet WI, LLC",43709,43327
"UpNet WI, LLC",827,827
"VPNet, Inc.",1758,0
"VPNet, Inc.",18643,0
Warp Networks Inc.,751,750
"Wi-Fiber, Inc.",3208,3208
"Wi-Fiber, Inc.",1166844,1166202
"Wi-Fiber, Inc.",388,56
"Wi-Fiber, Inc.",585514,585557
"Wifinity, LLC",2354,2354
"Wifinity, LLC",14942,14942
"X-Tech, LLC",1725,277
Aeronet Wireless Broadband LLC,7925,7925
Aeronet Wireless Broadband LLC,379345,379345
Aeronet Wireless Broadband LLC,412764,412764
Aeronet Wireless Broadband LLC,210012,210012
Aerux LLP,610,610
Aerux LLP,143957,143957
Midstate Broadband,101,49
"Mountain iNet, Inc.",3,3
Smith Internet Solutions LLC,749,749
"San Luis Valley Rural Electric Cooperative, Inc.",11872,11872
"San Luis Valley Rural Electric Cooperative, Inc.",18759,18759
"Fiber Connect, LLC.",4657,4657
Acadiana Wireless LLC,6865,6782
Acadiana Wireless LLC,407,401
"Andrena, Inc.",22122,22122
"Anza Electric Cooperative, Inc.",2641,2641
"Anza Electric Cooperative, Inc.",9,9
BARC Electric Cooperative,11767,11767
Cobalt Ridge LLC,14868,14868
Cobalt Ridge LLC,671,671
"Consolidated Electric Cooperative, Inc.",11018,11018
ENCO Electronic System LLC,167,167
ENCO Electronic System LLC,9,9
ENCO Electronic System LLC,3485,3485
ENCO Electronic System LLC,415,415
"Esparto Broadband, Inc.",1134,1134
"Esparto Broadband, Inc.",22,22
"Esparto Broadband, Inc.",1104,1104
Fireball Wireless LLC,439,439
French Broad Electric Membership Corporation,22876,22876
"Gigabeam Internet, LLC",160,160
"Gigabeam Internet, LLC",104397,104397
Ravalli Electric Cooperative,5327,5327
Ravalli Electric Cooperative,31158,31158
Jackson County Rural Electric Membership Corporation,27814,27814
"JORP, LLC",171173,171173
JTN Communications,307,307
JTN Communications,13357,13357
"KC Web, Inc.",7,7
"KC Web, Inc.",39685,39685
KGI Communications LLC,168,168
KGI Communications LLC,49,49
KGI Communications LLC,113,0
KGI Communications LLC,846,846
Liberty Broadband LLC,10062,10062
"LightGig Communications, LLC",2708,2708
"LR Communications, Inc.",41026,41026
AeroFlight Internet,874,874
"Mike Gunther Industries, Inc.",1090,1090
Mille Lacs Energy Cooperative,3900,3900
"Network Tool and Die Company, Inc.",33,33
"Network Tool and Die Company, Inc.",97,125
"Network Tool and Die Company, Inc.",5,9
"Networx Technologies, LLC",234,234
"North Arkansas Electric Cooperative, Inc.",38381,38381
North Alabama Electric Cooperative,13898,13898
"On-Ramp Indiana, Inc.",1226,1226
"On-Ramp Indiana, Inc.",71256,71224
"On-Ramp Indiana, Inc.",17724,17720
Pacific Independent Technology Alliance LLC,4597,0
Valley Center Wireless,12650,12650
Paragould Light and Water Commission,14565,14565
RTA of America,9723,9723
RTA of America,398733,398733
Roanoke Electric Membership Corp.,25689,2516
